Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
15,1,29,1,2,2,1
13,1,7,1,2,2,3
27,1,15,1,2,2,1
8,1,5,1,2,2,3
6,1,19,1,2,2,1
16,1,11,1,2,2,1
12,1,14,1,2,2,3
37,1,48,2,2,2,1
38,1,39,3,2,2,1
7,1,20,1,2,2,2
26,1,18,1,2,2,1
32,1,33,1,2,2,3
10,1,8,1,2,2,2
36,1,47,2,2,2,1
11,1,23,1,2,2,2
35,1,35,1,2,2,2
23,1,13,1,2,2,1
19,1,21,1,2,2,1
18,1,10,1,2,2,3
25,1,24,1,2,2,1
2,1,1,1,2,2,3
9,1,12,1,2,2,3
4,1,9,3,2,2,2
1,1,6,1,2,2,1
33,1,44,1,2,2,1
3,1,3,1,2,2,2
24,1,31,1,2,2,3
29,1,25,1,2,2,3
20,1,16,1,2,2,3
34,1,42,1,2,2,1
5,1,22,1,2,2,3
31,1,36,1,2,2,1
14,1,2,1,2,2,3
21,1,4,1,2,2,1
22,1,28,1,2,2,3
30,1,26,1,2,2,1
17,1,30,1,2,2,1
18,1.5,17,1,5,2,1
19,1.5,29,1,5,2,1
4,1.5,7,1,5,2,3
25,1.5,15,1,5,2,1
5,1.5,5,1,5,2,3
17,1.5,19,1,5,2,1
10,1.5,11,2,5,2,1
33,1.5,14,1,5,2,3
27,1.5,39,1,5,2,1
14,1.5,20,1,5,2,2
21,1.5,18,1,5,2,1
20,1.5,33,1,5,2,3
6,1.5,8,1,5,2,2
12,1.5,23,1,5,2,2
29,1.5,35,1,5,2,2
24,1.5,13,2,5,2,1
23,1.5,21,1,5,2,1
9,1.5,10,1,5,2,3
34,1.5,24,1,5,2,1
1,1.5,1,1,5,2,3
8,1.5,12,1,5,2,3
3,1.5,9,1,5,2,2
22,1.5,6,1,5,2,1
31,1.5,44,1,5,2,1
7,1.5,3,1,5,2,2
37,1.5,31,1,5,2,3
35,1.5,50,2,5,2,3
36,1.5,25,1,5,2,3
11,1.5,16,1,5,2,3
30,1.5,42,1,5,2,1
16,1.5,22,1,5,2,3
28,1.5,36,1,5,2,1
2,1.5,2,2,5,2,3
15,1.5,4,2,5,2,1
38,1.5,41,1,5,2,2
26,1.5,26,2,5,2,1
13,1.5,30,2,5,2,1
30,1.5,17,1,3,2,1
27,1.5,29,1,3,2,1
9,1.5,7,1,3,2,3
12,1.5,15,1,3,2,1
38,1.5,51,1,3,2,1
5,1.5,5,1,3,2,3
24,1.5,18,1,3,2,1
22,1.5,19,1,3,2,1
18,1.5,11,1,3,2,1
28,1.5,14,1,3,2,3
33,1.5,39,1,3,2,1
10,1.5,20,1,3,2,2
19,1.5,33,1,3,2,3
3,1.5,8,1,3,2,2
4,1.5,23,1,3,2,2
34,1.5,35,1,3,2,2
7,1.5,13,1,3,2,1
37,1.5,34,1,3,2,1
23,1.5,21,1,3,2,1
40,1.5,45,3,3,2,1
2,1.5,10,1,3,2,3
26,1.5,24,1,3,2,1
39,1.5,1,2,3,2,3
16,1.5,12,1,3,2,3
1,1.5,9,1,3,2,2
11,1.5,6,1,3,2,1
35,1.5,44,1,3,2,1
15,1.5,3,1,3,2,2
